0.361047,-0.005699,-0.101673,0.079309,-0.970743,-0.258741,0.306035,0.112857,0.034940,0.265558,-0.162041,-1.102055
0.419000,-0.172405,-0.004026,0.009725,-0.325525,-0.743732,0.145183,0.175899,-0.108751,0.134318,-0.342276,-1.017424
0.306991,-0.140491,0.030281,0.148435,-0.008938,-0.935603,0.006217,0.158245,-0.229017,-0.028695,-0.338753,-1.039268
0.023260,-0.134728,0.131018,0.299722,-0.103802,-0.847969,0.009593,0.076304,-0.224845,-0.219243,-0.243797,-1.066705
-0.252129,-0.221719,0.290825,0.427130,-0.156678,-0.656040,0.012394,-0.113851,-0.334512,-0.425887,-0.268992,-0.981647
-0.397457,-0.262120,0.359765,0.392301,-0.110667,-0.387719,0.142617,-0.271455,-0.421318,-0.440318,-0.311788,-0.783440
-0.312628,-0.188363,0.448227,0.197649,-0.059065,-0.202400,0.221239,-0.268066,-0.402079,-0.230171,-0.231653,-0.757015
0.327794,-0.048809,0.220594,-0.222101,0.054113,-0.420189,0.210531,-0.239405,-0.237479,0.171960,-0.309675,-0.799525
1.133985,0.234032,-0.075602,-0.665190,0.426400,-0.856028,0.194842,-0.070610,0.143815,0.908930,-0.118503,-1.257956
1.038345,0.351943,-0.327877,-0.740922,0.576756,-1.176593,0.339196,0.145628,0.539943,1.405447,0.555835,-1.823509
0.477918,0.311994,-0.455322,-0.430751,0.424040,-1.147215,0.763844,0.294060,0.726029,1.511998,1.198010,-1.657491
0.243729,0.243349,-0.379586,-0.039040,-0.017018,-0.830765,0.782119,0.417939,0.513495,1.294294,1.323303,-1.418326
0.172671,0.304127,-0.332447,0.162047,-0.617291,-0.195546,0.806894,0.345782,0.571777,1.155378,1.058409,-1.221141
0.080203,0.247287,-0.094189,0.179025,-0.724719,0.041213,0.742350,0.432230,0.112170,0.953279,0.461886,-0.754399
-0.177438,0.149125,-0.029949,0.410460,-0.524786,0.027294,0.978908,0.209756,0.046923,0.508194,-0.303159,-0.078660
-0.417003,-0.032920,-0.006829,0.497688,0.072241,-0.050955,0.737954,0.111027,-0.096963,0.375153,-0.501346,0.263788
-0.057451,-0.234754,-0.020909,0.583330,0.723486,-0.038997,0.371782,0.058106,-0.141116,0.359863,-0.219083,0.150338
